Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;3600
Messzeitpunkt:;04.02.2021 12:54:03

Messzeit Nullspektrum (s):;3600
Messzeitpunkt:;04.02.2021 11:29:10

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46111

Offset:;3

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
250;263187;56
251;260800;42
252;273881;57
253;264081;70
254;275414;63
255;269373;54
256;278278;49
257;270368;53
258;279459;61
259;271858;50
260;274196;54
261;265951;41
262;272709;73
263;263826;50
264;267190;46
265;255384;56
266;258988;62
267;249221;48
268;251602;58
269;237312;52
270;237687;60
271;224967;52
272;225658;46
273;213739;62
274;213441;63
275;200934;51
276;194642;54
277;186660;55
278;185713;59
279;173780;65
280;172361;50
281;160419;54
282;159977;54
283;148495;49
284;142552;54
285;136368;54
286;135134;72
287;125824;59
288;124575;51
289;103387;41
290;115306;61
291;108331;66
292;104587;47
293;99630;52
294;99106;68
295;92861;45
296;91669;61
297;86669;58
298;86057;66
299;80869;66
300;82476;70
301;76144;51
302;76297;59
303;71998;52
304;72505;45
305;68735;51
306;69724;58
307;65330;61
308;66841;84
309;63472;56
310;64163;54
311;61809;74
312;62498;56
313;60011;56
314;60786;51
315;58163;58
316;60376;74
317;56683;61
318;58313;46
319;55749;59
320;57135;51
321;54998;45
322;55570;60
323;54475;53
324;54307;51
325;52833;60
326;54583;44
327;52915;56
328;54337;59
329;51792;56
330;53414;73
331;51967;50
332;53129;50
333;51113;56
334;52503;61
335;50810;40
336;52002;56
337;50587;54
338;51769;69
339;50418;59
340;50526;50
341;49926;59
342;51045;46
343;49742;54
344;51079;54
345;49194;50
346;51162;62
347;49487;61
348;49467;53
349;49457;48
350;51226;64
351;48914;47
352;47190;60
353;49184;52
354;51149;57
355;49846;60
356;50442;63
357;49417;54
358;50987;62
359;49733;62
360;51262;47
361;49656;59
362;51604;64
363;50050;54
364;52205;54
365;49991;59
366;51874;56
367;50635;57
368;52065;57
369;50651;56
370;52530;68
371;50830;50
372;52712;71
373;51284;65
374;53659;65
375;52084;60
376;53925;62
377;52190;67
378;54092;59
379;53586;45
380;55939;59
381;53467;52
382;55429;44
383;54238;49
384;56124;56
385;54596;72
386;56704;48
387;55484;62
388;57061;60
389;55673;48
390;58016;50
391;57340;69
392;59294;60
393;58172;59
394;60382;58
395;59902;59
396;62814;57
397;61058;56
398;63496;61
399;62653;52
400;65290;57
401;64452;52
402;67673;51
403;66506;51
404;68213;48
405;68964;46
406;72952;59
407;72809;63
408;75623;57
409;75107;60
410;79567;56
411;79093;48
412;80136;58
413;82016;64
414;86782;57
415;86950;47
416;86609;50
417;91383;50
418;97587;71
419;97130;48
420;101578;53
421;102378;68
422;109274;60
423;108871;38
424;115697;54
425;115388;43
426;122882;59
427;123198;49
428;132494;68
429;129957;45
430;137688;50
431;137815;62
432;145634;54
433;145202;62
434;153249;61
435;152312;70
436;161550;45
437;160126;67
438;170335;48
439;169275;56
440;177693;53
441;176739;62
442;186221;54
443;186045;58
444;196668;59
445;191514;57
446;201449;54
447;198722;48
448;207461;52
449;204961;52
450;214351;49
451;210930;54
452;216395;48
453;213356;50
454;224290;54
455;218902;67
456;227586;44
457;221909;56
458;230098;54
459;225329;54
460;234134;68
461;224802;53
462;231707;58
463;225226;58
464;231332;54
465;224750;49
466;230239;52
467;224559;63
468;222618;46
469;219238;44
470;224523;43
471;216045;49
472;220190;53
473;211354;56
474;214422;59
475;206079;44
476;202705;61
477;199409;52
478;202232;48
479;192574;44
480;173924;61
481;185704;53
482;187151;55
483;179551;48
484;177412;42
485;169888;54
486;171025;60
487;162321;48
488;161766;45
489;152093;49
490;153589;49
491;143955;40
492;146173;57
493;134185;43
494;134737;62
495;126119;42
496;125153;45
497;118309;57
498;116897;52
499;108390;44
500;107793;51
501;100998;41
502;101088;54
503;94194;69
504;92485;58
505;86456;45
506;84863;53
507;79667;47
508;79344;57
509;72753;47
510;71980;48
511;66669;38
512;65534;45
513;60831;44
514;60365;35
515;55853;39
516;54294;50
517;50746;47
518;49870;50
519;46646;52
520;45825;54
521;42822;48
522;42133;43
523;39384;57
524;38939;36
525;35752;55
526;35211;42
527;33316;47
528;32885;58
529;30773;57
530;30324;34
531;28717;57
532;27966;45
533;26568;54
534;26599;52
535;24832;42
536;24919;47
537;23499;60
538;23396;48
539;22378;41
540;21572;48
541;21253;57
542;21204;46
543;20168;49
544;19677;43
545;17572;39
546;19824;54
547;18780;50
548;19014;53
549;18317;46
550;18715;60
551;17943;48
552;18502;54
553;17555;46
554;18002;39
555;17313;52
556;18102;52
557;17064;44
558;17397;50
559;16732;48
